replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
1;Y ~ X1 + X2;0.2;1;1;1;1;0.241727272727273;0.88567130500188;0.848462393479066;133;608;8.74671052631579;9.34125607459949;19;0.901785714285714;0.830784410458806;0.223521836363636
2;Y ~ X1 + X2;0.2;1;1;1;1;0.232454545454545;0.875244427062964;0.83226723525231;73;638;8.01567398119122;8.27303751835866;12;0.875379939209726;0.819109461966605;-0.0991585363636364
3;Y ~ X1 + X2;0.2;1;1;1;1;0.248727272727273;0.876461988304094;0.83169014084507;69;676;8.09467455621302;7.81783899618878;9;0.860058309037901;0.822655524605385;0.0899633090909091
4;Y ~ X1 + X2;0.2;1;1;1;1;0.241818181818182;0.887927792403159;0.854619065145381;1;597;8.89632107023411;8.38138436475278;1;0.900621118012422;0.840328027013989;-0.061294
5;Y ~ X1 + X2;0.2;1;1;1;1;0.280545454545455;0.890797148412184;0.828880866425993;93;674;9.15727002967359;8.25246440256227;11;0.892487046632124;0.804304304304304;-0.117146945454545
6;Y ~ X1 + X2;0.2;1;1;1;1;0.256;0.88671875;0.83159073935773;25;638;8.82758620689655;8.32203962537731;7;0.883720930232558;0.81356783919598;0.222248145454545
7;Y ~ X1 + X2;0.2;1;1;1;1;0.219090909090909;0.878423236514523;0.845756457564576;24;586;8.22525597269625;7.72984190276799;4;0.867226890756303;0.839716312056738;0.186216409090909
8;Y ~ X1 + X2;0.2;1;1;1;1;0.227272727272727;0.8687474989996;0.845116618075802;3;657;7.59878419452887;6.83495310029001;1;0.876755070202808;0.83547313361864;-0.0444887545454546
9;Y ~ X1 + X2;0.2;1;1;1;1;0.24;0.88101553618795;0.845922585494175;59;629;8.38095238095238;9.02019773857248;11;0.890625;0.831766452251361;-0.0328909454545454
10;Y ~ X1 + X2;0.2;1;1;1;1;0.253636363636364;0.881678020795984;0.833694866232827;43;661;8.42900302114804;7.86651545264214;2;0.889212827988338;0.815384615384615;0.114850363636364
11;Y ~ X1 + X2;0.2;1;1;1;1;0.267636363636364;0.883491847826087;0.828863796753705;9;686;8.58309037900875;8.45721635943454;2;0.892037786774629;0.806497849976111;-0.2230137
