replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
1;Y ~ X1 + X2;0.2;1;1;1;1;0.361181818181818;0.9073980875692;0.831237322515213;1023;735;10.7961956521739;10.0675801846126;5;0.908366533864542;0.7782340862423;0.22334669
2;Y ~ X1 + X2;0.2;1;1;1;1;0.407;0.911547911547912;0.836176261549396;22;792;11.3055555555556;10.4372783418019;4;0.904639175257732;0.787878787878788;-0.0990903272727273
3;Y ~ X1 + X2;0.2;1;1;1;1;0.379909090909091;0.902106270943035;0.827816901408451;46;819;10.1926829268293;9.50662850064843;13;0.909173478655767;0.776308223116734;0.0903524272727273
4;Y ~ X1 + X2;0.2;1;1;1;1;0.434909090909091;0.914297658862876;0.843209422156791;1;820;11.6682926829268;12.3704917257803;1;0.911690496215307;0.789921465968586;-0.0611740000000001
5;Y ~ X1 + X2;0.2;1;1;1;1;0.409909090909091;0.908848968729208;0.830685920577617;27;822;10.970802919708;10.0296693565904;6;0.898648648648649;0.779949558638083;-0.117216027272727
6;Y ~ X1 + X2;0.2;1;1;1;1;0.452545454545455;0.913401647578863;0.84167289021658;25;863;11.5231481481481;11.2348654081401;7;0.915642915642916;0.779684282772821;0.222385081818182
7;Y ~ X1 + X2;0.2;1;1;1;1;0.401545454545455;0.910778985507246;0.834317343173432;29;789;11.1822784810127;11.6709187748504;8;0.903758020164986;0.787523162445954;0.186380636363636
8;Y ~ X1 + X2;0.2;1;1;1;1;0.389909090909091;0.90860340405689;0.833454810495627;9;784;10.9413265306122;10.2669796371712;3;0.906755470980019;0.787950383933845;-0.0450893727272727
9;Y ~ X1 + X2;0.2;1;1;1;1;0.384272727272727;0.901585048497753;0.81510710259301;16;832;10.1610576923077;9.56502276867851;2;0.891634980988593;0.765071472964574;-0.0326817181818182
10;Y ~ X1 + X2;0.2;1;1;1;1;0.4;0.911116162764265;0.836587129428778;44;783;11.2244897959184;10.9353184223112;5;0.921003717472119;0.782840236686391;0.114515218181818
