replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
1;Y ~ X1 + X2;0.2;1;1;1;1;0.657636363636364;0.980229503663763;0.961837717673212;37;287;50.2361111111111;46.9069881789008;2;0.979831932773109;0.926695842450766;0.223500445454545
2;Y ~ X1 + X2;0.2;1;1;1;1;0.662454545454545;0.978314575898984;0.962686567164179;172;317;45.8301886792453;47.0112035592661;8;0.980871413390011;0.925965665236052;-0.0989208090909091
3;Y ~ X1 + X2;0.2;1;1;1;1;0.630818181818182;0.97794753531277;0.959507042253521;33;307;45.0584415584416;43.9783424139309;3;0.98074745186863;0.924581005586592;0.0900961636363637
4;Y ~ X1 + X2;0.2;1;1;1;1;0.696363636363636;0.978981723237598;0.952153110047847;1;322;47.5776397515528;47.1296933672861;1;0.975129533678756;0.895806861499365;-0.0609179000000001
5;Y ~ X1 + X2;0.2;1;1;1;1;0.659636363636364;0.97877618522602;0.961371841155235;93;308;47.1168831168831;51.0646070403203;4;0.973267866884888;0.938100320170758;-0.116928018181818
6;Y ~ X1 + X2;0.2;1;1;1;1;0.660909090909091;0.976066024759285;0.955563853622106;25;348;41.7816091954023;45.6104199856607;6;0.977728285077951;0.910430839002268;0.222453018181818
7;Y ~ X1 + X2;0.2;1;1;1;1;0.685;0.977302893549243;0.959778597785978;24;343;43.8081395348837;38.8923141135009;4;0.976515565264883;0.924914675767918;0.186249536363636
8;Y ~ X1 + X2;0.2;1;1;1;1;0.701;0.980025940337224;0.957725947521866;3;309;49.7483870967742;53.3760967889243;1;0.980648535564854;0.905048076923077;-0.0450514636363637
9;Y ~ X1 + X2;0.2;1;1;1;1;0.660909090909091;0.981427981840693;0.965050732807215;22;271;53.4558823529412;49.9007708167376;2;0.982245131729668;0.93224043715847;-0.0331495909090909
10;Y ~ X1 + X2;0.2;1;1;1;1;0.666727272727273;0.97545342970135;0.954446854663774;32;361;40.5193370165746;38.7799477336507;2;0.973613354873452;0.915291529152915;0.1145929
11;Y ~ X1 + X2;0.2;1;1;1;1;0.679090909090909;0.978982597054886;0.959774170783345;9;314;47.5796178343949;52.8579527757923;1;0.984276729559748;0.909287257019438;-0.223142127272727
12;Y ~ X1 + X2;0.2;1;1;1;1;0.663636363636364;0.978490204137553;0.960392441860465;39;315;46.2025316455696;44.4455953831644;5;0.979989183342347;0.920265780730897;0.226313090909091
13;Y ~ X1 + X2;0.2;1;1;1;1;0.723545454545454;0.980902123382335;0.954445260837619;35;304;52.3618421052632;47.6025973666813;3;0.977447462839569;0.896238651102464;-0.0926244090909091
14;Y ~ X1 + X2;0.2;1;1;1;1;0.605818181818182;0.976136875281405;0.960908413998511;12;319;41.65;42.760882612044;2;0.979914790018259;0.930968360498562;0.0612679181818182
15;Y ~ X1 + X2;0.2;1;1;1;1;0.687909090909091;0.979249273063706;0.953360264414249;1;315;47.8924050632911;50.2312595143242;1;0.974933333333333;0.905660377358491;0.1995691
16;Y ~ X1 + X2;0.2;1;1;1;1;0.721181818181818;0.981467473524962;0.962730627306273;27;295;53.6013513513514;53.4397416213438;3;0.983120204603581;0.909933774834437;-0.157256772727273
17;Y ~ X1 + X2;0.2;1;1;1;1;0.691090909090909;0.9796106287819;0.950575994054255;52;310;49.0451612903226;51.2209806261554;4;0.975492807671817;0.893120393120393;0.132145481818182
18;Y ~ X1 + X2;0.2;1;1;1;1;0.639545454545455;0.980955088118249;0.971677559912854;245;267;52.5;47.8958377961539;2;0.987549518958687;0.943262411347518;-0.0399306636363636
19;Y ~ X1 + X2;0.2;1;1;1;1;0.709636363636364;0.980012812299808;0.960791498717479;29;313;49.7197452229299;47.8489656929321;3;0.976697061803445;0.919205298013245;0.140171627272727
20;Y ~ X1 + X2;0.2;1;1;1;1;0.691181818181818;0.978692621333684;0.961928934010152;17;324;46.9320987654321;45.276119950851;4;0.977683315621679;0.928082191780822;0.0563507090909091
21;Y ~ X1 + X2;0.2;1;1;1;1;0.691454545454545;0.97922419460881;0.953589557650471;15;317;47.8364779874214;44.5307281496972;2;0.97564849126522;0.905638665132336;0.0672980818181818
22;Y ~ X1 + X2;0.2;1;1;1;1;0.693909090909091;0.982575658325691;0.97;4;266;57.390977443609;61.6591110751916;2;0.983032873806999;0.93980343980344;-0.0473717
23;Y ~ X1 + X2;0.2;1;1;1;1;0.695545454545455;0.978692810457516;0.957829243000346;134;327;46.6524390243902;46.2245246717717;5;0.976721149083705;0.914187643020595;-0.211044290909091
24;Y ~ X1 + X2;0.2;1;1;1;1;0.637272727272727;0.979315263908702;0.967465141222739;41;290;48.013698630137;43.130273598814;3;0.982172701949861;0.941117764471058;-0.0435576
25;Y ~ X1 + X2;0.2;1;1;1;1;0.669545454545455;0.979090291921249;0.959438968915845;22;308;47.8246753246753;46.771609331264;5;0.980725623582766;0.916475972540046;0.0531552363636364
26;Y ~ X1 + X2;0.2;1;1;1;1;0.745909090909091;0.98122866894198;0.96294964028777;15;309;52.9354838709677;55.0867883634489;2;0.980759980759981;0.910128388017118;0.0430776636363636
