replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
1;Y ~ X1 + X2;0.2;1;1;1;1;0.837363636363636;0.986102062975027;0.964801778436458;37;257;71.4031007751938;78.9130771184984;2;0.984458259325044;0.865771812080537;0.223482881818182
2;Y ~ X1 + X2;0.2;1;1;1;1;0.846727272727273;0.986900032213036;0.96090973702914;22;245;75.7235772357724;85.2896031575398;3;0.982360352792944;0.842956120092379;-0.0989093909090909
3;Y ~ X1 + X2;0.2;1;1;1;1;0.848090909090909;0.987458462857755;0.971478873239437;33;234;79.7350427350427;74.4637603552772;3;0.988279614901633;0.882483370288248;0.0902143818181819
4;Y ~ X1 + X2;0.2;1;1;1;1;0.807727272727273;0.985366951823503;0.967243283032757;1;261;67.824427480916;71.2139226789505;1;0.988251242657027;0.875;-0.0610948818181819
5;Y ~ X1 + X2;0.2;1;1;1;1;0.823181818181818;0.986967086370665;0.964259927797834;20;237;76.0924369747899;75.1131340606795;2;0.983111111111111;0.882692307692308;-0.117009318181818
6;Y ~ X1 + X2;0.2;1;1;1;1;0.851909090909091;0.988580576307364;0.973861090365945;25;215;86.7685185185185;86.8642303464006;7;0.987263943785683;0.897755610972569;0.222258436363636
7;Y ~ X1 + X2;0.2;1;1;1;1;0.836272727272727;0.987823439878234;0.976014760147601;47;225;81.4070796460177;89.2462121213137;4;0.989686098654708;0.9125;0.186230445454545
8;Y ~ X1 + X2;0.2;1;1;1;1;0.852272727272727;0.987625346703648;0.970116618075802;9;233;80.1282051282051;90.3655925576897;2;0.988301559792028;0.873853211009174;-0.0447315
9;Y ~ X1 + X2;0.2;1;1;1;1;0.864454545454545;0.988851493479175;0.971063509958662;16;213;88.8691588785047;83.6569910590826;2;0.983892033086635;0.89010989010989;-0.0330416090909091
10;Y ~ X1 + X2;0.2;1;1;1;1;0.838;0.986655093848324;0.975777295733912;42;247;74.3387096774194;73.3331729965107;4;0.990513152220785;0.899328859060403;0.114746190909091
11;Y ~ X1 + X2;0.2;1;1;1;1;0.858909090909091;0.98708584735895;0.967537050105857;10;245;76.8130081300813;78.4194637090689;1;0.986497545008183;0.848717948717949;-0.223135072727273
12;Y ~ X1 + X2;0.2;1;1;1;1;0.847454545454545;0.986267567857526;0.963299418604651;10;257;72.2635658914729;73.6619728239074;3;0.98416095890411;0.846153846153846;0.226337872727273
13;Y ~ X1 + X2;0.2;1;1;1;1;0.855363636363636;0.986289722606016;0.965466568699486;18;258;72.937984496124;68.2703440304134;4;0.986984815618221;0.84652278177458;-0.0928766181818182
14;Y ~ X1 + X2;0.2;1;1;1;1;0.858090909090909;0.98675566857385;0.969843633655994;12;251;74.9126984126984;76.5700745556664;2;0.98522381573229;0.877922077922078;0.0613246727272727
15;Y ~ X1 + X2;0.2;1;1;1;1;0.825363636363636;0.986231963872673;0.965479250826294;1;250;72.632;83.2040375881348;1;0.981366459627329;0.889125799573561;0.1995167
16;Y ~ X1 + X2;0.2;1;1;1;1;0.868909090909091;0.989222559380559;0.977859778597786;12;207;91.9038461538462;99.5344034030025;2;0.993185689948893;0.878453038674033;-0.157369090909091
17;Y ~ X1 + X2;0.2;1;1;1;1;0.841454545454545;0.987358184764992;0.973615756224452;66;235;78.4406779661017;70.884225141391;11;0.986271036315323;0.907621247113164;0.132160681818182
18;Y ~ X1 + X2;0.2;1;1;1;1;0.850818181818182;0.986857570253232;0.970588235294118;93;246;75.4758064516129;72.8190165136211;2;0.985087345547507;0.886977886977887;-0.0398867545454545
19;Y ~ X1 + X2;0.2;1;1;1;1;0.835727272727273;0.987815491731941;0.968120190545988;18;225;81.353982300885;74.0198960166867;3;0.988611476127902;0.86322869955157;0.140013090909091
20;Y ~ X1 + X2;0.2;1;1;1;1;0.847181818181818;0.986263146597982;0.971718636693256;16;257;72.2403100775194;71.3691739296673;2;0.986763450042698;0.887019230769231;0.0563566727272727
21;Y ~ X1 + X2;0.2;1;1;1;1;0.828636363636364;0.986286341195831;0.964467005076142;54;250;72.92;64.2832191016016;2;0.983028720626632;0.871739130434783;0.0668487090909091
22;Y ~ X1 + X2;0.2;1;1;1;1;0.850909090909091;0.986323325141575;0.96962962962963;21;257;72.5581395348837;77.0335668492095;4;0.983549783549784;0.887179487179487;-0.0474441272727273
23;Y ~ X1 + X2;0.2;1;1;1;1;0.851545454545454;0.98772154601751;0.973384030418251;60;231;80.75;86.6081505352148;8;0.98582995951417;0.900709219858156;-0.211065618181818
24;Y ~ X1 + X2;0.2;1;1;1;1;0.846;0.987964753922201;0.975330711476582;425;224;82.353982300885;85.7958457571126;2;0.990677966101695;0.892448512585812;-0.0435758545454545
25;Y ~ X1 + X2;0.2;1;1;1;1;0.864727272727273;0.987698454421197;0.973085670962851;2;235;80.6101694915254;78.5802473927953;2;0.988131868131868;0.878787878787879;0.0537620818181818
26;Y ~ X1 + X2;0.2;1;1;1;1;0.862181818181818;0.987767584097859;0.97410071942446;15;233;81.0598290598291;81.5823352454958;2;0.988439306358382;0.877094972067039;0.0432545909090909
27;Y ~ X1 + X2;0.2;1;1;1;1;0.85;0.987272727272727;0.969652650822669;22;238;78.5714285714286;86.9412982779011;2;0.992530755711775;0.856209150326797;0.1608378
